Central Academy School, Baran Road,Private Unaided/Independent,CBSE,₹ 49,880 (CBSE-Class10),Kota, Rajasthan
Sri Guru Harkrishan Public School, Pandori Khajoor,Private Unaided/Independent,CBSE,₹ 32,010 (CBSE-Class12),Hoshiarpur, Punjab
Sri Hemkunt Sahib Senior Secondary School, Moga,Private Unaided/Independent,CBSE,₹ 52,730 (CBSE-Class12),Moga, Punjab
Sri Sukhmani International School, Dera Bassi,Private Unaided/Independent,CBSE,₹ 36,480 (CBSE-Class10),Patiala, Punjab
St Soldier Divine Public School, Behind Rec(Nit),Private Unaided/Independent,CBSE,₹ 45,750 (CBSE-Class12),Jalandhar, Punjab
St. Joseph School, Lalru,Private Unaided/Independent,CBSE,₹ 64,000 (CBSE-Class12),Sahibzada Ajit Singh Nagar, Punjab
St Soldier Divine Public School, Garhdiwala,Private Unaided/Independent,CBSE,,Hoshiarpur, Punjab
St. Joseph's School, Barnala,Private Unaided/Independent,CBSE,,Barnala, Punjab
S S Bajwa Memorial Public School, Qadian,Private Unaided/Independent,CBSE,,Gurdaspur, Punjab
SVJC DAV Public School, Dasuya,Private Unaided/Independent,CBSE,₹ 35,650 (CBSE-Class12),Hoshiarpur, Punjab
S.D. Model School, New Sant Nagar,Private Unaided/Independent,CBSE,₹ 45,400 (CBSE-Class12),Fatehgarh Sahib, Punjab
S K Public School, Ferozepur,Private Unaided/Independent,CBSE,,Ferozepur, Punjab
Sacred Heart Convent School, Handiaya Road,Private Unaided/Independent,CBSE,,Barnala, Punjab
S.G.R.D International School, Mehre,Private Unaided/Independent,CBSE,₹ 24,400 (CBSE-Class10),Gurdaspur, Punjab
Sacred Heart Convent Senior Secondary School, Chak Attar Singh Wala,Private Unaided/Independent,CBSE,,Bathinda, Punjab
S Sukhjinder Singh Memorial Public School, Hayat Nagar,Private Unaided/Independent,CBSE,,Gurdaspur, Punjab
Shivalik Public School, Phase 6,Private Unaided/Independent,CBSE,₹ 69,920 (CBSE-Class12),Mohali, Punjab
Shri Dasmesh Public Senior Secondary School, Kattu,Private Unaided/Independent,CBSE,,Sangrur, Punjab
Shree Atam Vallabh Jain Vidyamandir, Zira,Private Unaided/Independent,CBSE,,Firozpur, Punjab
Shri Guru Jambheshwar DAV Senior Secondary Public School, Haripura,Private Unaided/Independent,CBSE,₹ 47,880 (CBSE-Class12),Firozpur, Punjab
Shri Guru Tegh Bahadur International Senior Secondary School, Ajit Nagar,Private Unaided/Independent,CBSE,₹ 49,200 (CBSE-Class12),Kapurthala, Punjab
Shri Guru Ram Rai Public School, Katli Ropar,Private Unaided/Independent,CBSE,,Rupnagar, Punjab
Silver Oak International School, Shahbazpur,Private Unaided/Independent,CBSE,₹ 50,504 (CBSE-Class12),Hoshiarpur, Punjab
S D Model Senior Secondary School, Sultanpur,Private Unaided/Independent,CBSE,₹ 40,420 (CBSE-Class12),Kapurthala, Punjab
Bhavya Angel Convent School, Deengarh,Private Unaided/Independent,CBSE,₹ 33,500 (CBSE-Class12),Hanumangarh, Rajasthan
Bhartiya Vidya Bhavans Vidyashram, Jaipur,Private Unaided/Independent,CBSE,₹ 106,742 (CBSE-Class12),Jaipur, Rajasthan
Bhuvnesh Bal Vidyalaya, Kota,Private Unaided/Independent,CBSE,₹ 49,410 (CBSE-Class12),Kota, Rajasthan
Birla Shiksha Kendra, Madhav Nagar,Private Unaided/Independent,CBSE,,Chittorgarh, Rajasthan
Birla Balika Vidyapeeth, Pilani,Private Unaided/Independent,CBSE,₹ 404,100 (CBSE-Class10),Jhunjhunu, Rajasthan
Sri Chaitanya Techno School, Sri Ganganagar,Private Unaided/Independent,CBSE,,Sri Ganganagar, Rajasthan
Bihani Childerns Academy, Jawahar Nagar,Private Unaided/Independent,CBSE,₹ 72,000 (CBSE-Class12),Sri Ganganagar, Rajasthan
Bright Moon Public School, Amer,Private Unaided/Independent,CBSE,₹ 40,200 (CBSE-Class12),Jaipur, Rajasthan
Brightland Girls Senior Secondary School, Vaishali Nagar,Private Unaided/Independent,CBSE,₹ 48,815 (CBSE-Class10),Jaipur, Rajasthan
Cambridge Convent School, Sardarshahar,Private Unaided/Independent,CBSE,₹ 49,300 (CBSE-Class10),Churu, Rajasthan
BSN Academy, Kota,Private Unaided/Independent,CBSE,,Kota, Rajasthan
Central Academy, Hiran Magri,Private Unaided/Independent,CBSE,,Udaipur, Rajasthan
Ceeri Vidya Mandir, Jhunjhunu,Private Unaided/Independent,CBSE,₹ 59,900 (CBSE-Class10),Jhunjhunu, Rajasthan
Cambridge Court High School, Mansarover,Private Unaided/Independent,CBSE,,Jaipur, Rajasthan
Career Point World School, Jhalamand,Private Unaided/Independent,CBSE,₹ 89,000 (CBSE-Class12),Jodhpur, Rajasthan
Central Academy-1, Khetri Nagar,Private Unaided/Independent,CBSE,,Jhunjhunu, Rajasthan
Central Academy School, Baran Road,Private Unaided/Independent,CBSE,₹ 49,880 (CBSE-Class10),Kota, Rajasthan
