Course Name,Partner,Difficulty Level
"IBM Data Analytics with Excel and R","IBM","BEGINNER"
"Data Analysis and Visualization Foundations","IBM","BEGINNER"
"Data Science Fundamentals with Python and SQL","IBM","BEGINNER"
"AI Foundations for Everyone","IBM","BEGINNER"
"IBM Data Engineering","IBM","BEGINNER"
"IBM & Darden Digital Strategy","IBM","BEGINNER"
"IBM Back-End Development","IBM","BEGINNER"
"IBM Relational Database Administrator","IBM","INTERMEDIATE"
"Applied Data Science","IBM","BEGINNER"
"Introduction to Data Science","IBM","BEGINNER"
"Generative AI for Everyone","DeepLearning.AI","BEGINNER"
"Applied Software Engineering Fundamentals","IBM","BEGINNER"
"Data Engineering Foundations","IBM","BEGINNER"
"Key Technologies for Business","IBM","BEGINNER"
"Supervised Machine Learning: Regression and Classification ","DeepLearning.AI","BEGINNER"
"AI For Business","University of Pennsylvania","BEGINNER"
"Foundations of Project Management","Google","BEGINNER"
"Business Foundations","University of Pennsylvania","BEGINNER"
"Python for Everybody","University of Michigan","BEGINNER"
"IBM AI Foundations for Business","IBM","BEGINNER"
"IBM Data Management","IBM","BEGINNER"
"Introduction to AI","Google","BEGINNER"
"IBM Business Analyst","IBM","BEGINNER"
"Generative AI for Product Managers","IBM","INTERMEDIATE"
"Generative AI for Data Analysts","IBM","INTERMEDIATE"
"Generative AI for Data Scientists","IBM","INTERMEDIATE"
"Generative AI for Mobile App Developers","IBM","ADVANCED"
"Generative AI for Java and Spring Developers","IBM","INTERMEDIATE"
"Generative AI Fundamentals","IBM","BEGINNER"
"Generative AI for Software Developers","IBM","INTERMEDIATE"
"Foundations: Data, Data, Everywhere","Google","BEGINNER"
"Meta Social Media Marketing","Meta","BEGINNER"
"Generative AI for Business Analysts","IBM","BEGINNER"
"Generative AI for Digital Marketing","IBM","BEGINNER"
"Generative AI for Data Engineers","IBM","INTERMEDIATE"
"IBM AI Engineering","IBM","INTERMEDIATE"
"Generative AI for Project Managers","IBM","INTERMEDIATE"
"Generative AI for Human Resources (HR) Professionals","IBM","INTERMEDIATE"
"IBM Business Intelligence (BI) Analyst","IBM","BEGINNER"
"IBM Generative AI for Cybersecurity Professionals","IBM","INTERMEDIATE"
"Generative AI for Growth Marketing","IBM","BEGINNER"
"Generative AI for Business Intelligence (BI) Analysts","IBM","INTERMEDIATE"
"Generative AI for Educators","IBM","BEGINNER"
"Introduction to Finance and Accounting","University of Pennsylvania","BEGINNER"
"Generative AI for Product Owners","IBM","INTERMEDIATE"
"Generative AI for Program Managers","IBM","INTERMEDIATE"
"Generative AI for Customer Support","IBM","INTERMEDIATE"
"AI Agent Developer","Vanderbilt University","BEGINNER"
"Generative AI for Sales Professionals","IBM","INTERMEDIATE"
"Indigenous Canada","University of Alberta","MIXED"
"Retrieval Augmented Generation (RAG)","DeepLearning.AI","INTERMEDIATE"
"Generative AI Leader","Google Cloud","BEGINNER"
"Generative AI Software Engineering","Vanderbilt University","BEGINNER"
"IBM RAG and Agentic AI","IBM","ADVANCED"
"Mathematics for Machine Learning and Data Science","DeepLearning.AI","INTERMEDIATE"
"Meta Full-Stack Developer","Meta","BEGINNER"
"Financial Markets","Yale University","BEGINNER"
"Agentic AI and AI Agents for Leaders","Vanderbilt University","BEGINNER"
"Finance & Quantitative Modeling for Analysts","University of Pennsylvania","BEGINNER"
"Meta Front-End Developer","Meta","BEGINNER"
"Foundations of Cybersecurity","Google","BEGINNER"
"IBM and ISC2 Cybersecurity Specialist","ISC2","BEGINNER"
