Fund Name,AUM,5 Year return,Logo URL
Motilal Oswal Midcap Fund Direct Growth,34779.735,33.01,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
SBI Gold Direct Plan Growth,5220.8575,17.04,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Bandhan Small Cap Fund Direct Growth,14561.7392,31.87,https://assets-netstorage.groww.in/mf-assets/logos/idfc_groww.png
Parag Parikh Flexi Cap Fund Direct Growth,115040.07598349,22.91,https://assets-netstorage.groww.in/mf-assets/logos/ppfas_groww.png
HDFC Flexi Cap Direct Plan Growth,81935.6097,29.94,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Motilal Oswal BSE Enhanced Value Index Fund Direct Growth,789.879,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Nippon India Multi Cap Fund Direct Growth,46215.7112,31.16,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
SBI PSU Direct Plan Growth,5179.3699,33.8,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
JioBlackRock Liquid Fund Direct Growth,6171.71589598,NA,https://assets-netstorage.groww.in/mf-assets/logos/jioblackrock_groww.png
Quant Small Cap Fund Direct Plan Growth,28758.026,34.93,https://assets-netstorage.groww.in/mf-assets/logos/escorts_groww.png
Nippon India Small Cap Fund Direct Growth,64821.0397,32.59,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Nippon India Large Cap Fund Direct Growth,45012.1797,26.14,https://assets-netstorage.groww.in/mf-assets/logos/reliance_groww.png
Tata Gold ETF FoF Direct Growth,340.58777154,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
HDFC Gold ETF Fund of Fund Direct Plan Growth,4914.7345,16.88,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
HDFC Mid Cap Fund Direct Growth,83104.826,29.51,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
JioBlackRock Nifty Smallcap 250 Index Fund Direct Growth,89.24475851,NA,https://assets-netstorage.groww.in/mf-assets/logos/jioblackrock_groww.png
Motilal Oswal Large and Midcap Fund Direct Growth,12628.205,30.34,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
LIC MF Gold ETF FoF Direct Growth,253.719,17.65,https://assets-netstorage.groww.in/mf-assets/logos/lic_groww.png
JM Flexicap Fund Direct Plan Growth,5943.06234986,27.25,https://assets-netstorage.groww.in/mf-assets/logos/jm_groww.png
JioBlackRock Nifty 50 Index Fund Direct Growth,75.03538243,NA,https://assets-netstorage.groww.in/mf-assets/logos/jioblackrock_groww.png
Aditya Birla Sun Life PSU Equity Fund Direct Growth,5227.0491,34.74,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
ICICI Prudential Infrastructure Direct Growth,7645.01667518,37.7,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Tata Small Cap Fund Direct Growth,11415.82984226,31.08,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
Groww Silver ETF FoF Direct Growth,15.57350234,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
ICICI Prudential Large Cap Fund Direct Growth,71839.84712414,22.58,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Aditya Birla Sun Life Gold Fund Direct Growth,725.1455,16.8,https://assets-netstorage.groww.in/mf-assets/logos/birla_groww.png
Tata Silver ETF FoF Direct Growth,206.22141135,NA,https://assets-netstorage.groww.in/mf-assets/logos/tata_groww.png
SBI Small Cap Fund Direct Growth,35244.9137118,24.88,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
JioBlackRock Nifty Midcap 150 Index Fund Direct Growth,85.26093056,NA,https://assets-netstorage.groww.in/mf-assets/logos/jioblackrock_groww.png
HDFC Small Cap Fund Direct Growth,36294.0651,30.79,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
SBI Contra Direct Plan Growth,46653.99380504,30.16,https://assets-netstorage.groww.in/mf-assets/logos/sbi_groww.png
Groww Nifty Total Market Index Fund Direct Growth,316.6363147,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
Axis Small Cap Fund Direct Growth,25568.92231,27.34,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
ICICI Prudential Regular Gold Savings (FOF) Direct Growth,2602.80271039,17.0,https://assets-netstorage.groww.in/mf-assets/logos/icici_groww.png
Motilal Oswal Gold and Silver ETFs FoF Direct Growth,516.1236,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
Groww Nifty 50 Index Fund Direct Growth,12.46185617,NA,https://assets-netstorage.groww.in/mf-assets/logos/indiabulls_groww.png
Axis Gold Direct Plan Growth,1272.2306,16.94,https://assets-netstorage.groww.in/mf-assets/logos/axis_groww.png
UTI Nifty 50 Index Fund Direct Growth,23718.6573,18.09,https://assets-netstorage.groww.in/mf-assets/logos/uti_groww.png
HDFC Multi Cap Fund Direct Growth,18270.9101,NA,https://assets-netstorage.groww.in/mf-assets/logos/hdfc_groww.png
Motilal Oswal Nifty India Defence Index Fund Direct Growth,3417.7132,NA,https://assets-netstorage.groww.in/mf-assets/logos/motilal_groww.png
